Fichiers avec écart important (|diff| > 3)
============================================================
Data_PA001​_FO1.csv: détectés=13, réels=9, diff=+4
Data_pa024​_TUG2_2.csv: détectés=22, réels=10, diff=+12
Data_pa024​_TUG2_3.csv: détectés=21, réels=10, diff=+11
Data_pa026​_F8W1_2.csv: détectés=13, réels=9, diff=+4
Data_pa026​_F8W1_3.csv: détectés=13, réels=8, diff=+5
Data_pa026​_F8W2.csv: détectés=14, réels=10, diff=+4
Data_pa026​_F8W2_2.csv: détectés=15, réels=10, diff=+5
Data_pa026​_F8W2_3.csv: détectés=16, réels=9, diff=+7
Data_pa026​_FO1.csv: détectés=16, réels=10, diff=+6
Data_pa026​_FO1_2.csv: détectés=14, réels=10, diff=+4
Data_pa026​_FO2.csv: détectés=16, réels=11, diff=+5
Data_pa026​_FO2_2.csv: détectés=49, réels=10, diff=+39
Data_pa026​_FO2_3.csv: détectés=16, réels=10, diff=+6
Data_pa026​_Marche2.csv: détectés=15, réels=10, diff=+5
Data_pa026​_Marche2_3.csv: détectés=15, réels=11, diff=+4
Data_pa026​_TUG2.csv: détectés=17, réels=10, diff=+7
Data_pa026​_TUG2_2.csv: détectés=18, réels=10, diff=+8
Data_pa026​_TUG2_3.csv: détectés=16, réels=10, diff=+6
Data_pa028​_F8W1.csv: détectés=38, réels=9, diff=+29
Data_pa028​_F8W1_2.csv: détectés=22, réels=9, diff=+13
Data_pa028​_F8W1_3.csv: détectés=18, réels=9, diff=+9
Data_pa028​_F8W2.csv: détectés=20, réels=11, diff=+9
Data_pa028​_F8W2_2.csv: détectés=18, réels=9, diff=+9
Data_pa028​_F8W2_3.csv: détectés=23, réels=9, diff=+14
Data_pa028​_FO1.csv: détectés=22, réels=8, diff=+14
Data_pa028​_FO1_2.csv: détectés=23, réels=9, diff=+14
Data_pa028​_FO1_3.csv: détectés=27, réels=8, diff=+19
Data_pa028​_FO2.csv: détectés=29, réels=8, diff=+21
Data_pa028​_FO2_2.csv: détectés=31, réels=8, diff=+23
Data_pa028​_FO2_3.csv: détectés=24, réels=8, diff=+16
Data_pa028​_Marche.csv: détectés=15, réels=9, diff=+6
Data_pa028​_Marche2.csv: détectés=19, réels=9, diff=+10
Data_pa028​_Marche2_2.csv: détectés=17, réels=9, diff=+8
Data_pa028​_Marche2_3.csv: détectés=18, réels=9, diff=+9
Data_pa028​_Marche_2.csv: détectés=14, réels=9, diff=+5
Data_pa028​_Marche_3.csv: détectés=13, réels=9, diff=+4
Data_pa028​_TUG1.csv: détectés=13, réels=9, diff=+4
Data_pa028​_TUG2.csv: détectés=15, réels=9, diff=+6
Data_pa028​_TUG2_2.csv: détectés=15, réels=9, diff=+6
Data_pa028​_TUG2_3.csv: détectés=15, réels=8, diff=+7
Data_pa029​_F8W2_2.csv: détectés=17, réels=10, diff=+7
Data_pa029​_F8W2_3.csv: détectés=17, réels=9, diff=+8
Data_pa029​_FO1.csv: détectés=21, réels=10, diff=+11
Data_pa029​_FO1_2.csv: détectés=14, réels=9, diff=+5
Data_pa029​_FO1_3.csv: détectés=15, réels=8, diff=+7
Data_pa029​_FO2.csv: détectés=17, réels=10, diff=+7
Data_pa029​_FO2_2.csv: détectés=18, réels=10, diff=+8
Data_pa029​_FO2_3.csv: détectés=15, réels=10, diff=+5
Data_pa029​_Marche.csv: détectés=14, réels=10, diff=+4
Data_pa029​_Marche2.csv: détectés=20, réels=10, diff=+10
Data_pa029​_Marche2_2.csv: détectés=20, réels=9, diff=+11
Data_pa029​_Marche2_3.csv: détectés=20, réels=9, diff=+11
Data_pa029​_Marche_2.csv: détectés=18, réels=9, diff=+9
Data_pa029​_Marche_3.csv: détectés=15, réels=9, diff=+6
Data_pa029​_TUG2.csv: détectés=16, réels=9, diff=+7
Data_pa029​_TUG2_2.csv: détectés=18, réels=9, diff=+9
Data_pa029​_TUG2_3.csv: détectés=16, réels=9, diff=+7
Data_pa031​_F8W1_2.csv: détectés=17, réels=9, diff=+8
Data_pa031​_F8W1_3.csv: détectés=15, réels=9, diff=+6
Data_pa031​_F8W2.csv: détectés=17, réels=11, diff=+6
Data_pa031​_F8W2_2.csv: détectés=23, réels=10, diff=+13
Data_pa031​_F8W2_3.csv: détectés=19, réels=10, diff=+9
Data_pa031​_FO1.csv: détectés=2, réels=11, diff=-9
Data_pa031​_FO1_3.csv: détectés=14, réels=10, diff=+4
Data_pa031​_FO2.csv: détectés=15, réels=10, diff=+5
Data_pa031​_FO2_2.csv: détectés=15, réels=11, diff=+4
Data_pa031​_Marche2.csv: détectés=13, réels=9, diff=+4
Data_pa031​_Marche2_3.csv: détectés=14, réels=10, diff=+4
Data_pa031​_Marche_2.csv: détectés=13, réels=9, diff=+4
Data_pa031​_Marche_3.csv: détectés=14, réels=10, diff=+4
Data_pa031​_TUG2.csv: détectés=16, réels=9, diff=+7
